,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
ddog,2020-01-02,2020-12-31,0.0,1.6822888391003343,1.6913926299179711,-0.4209158157079338,4.018363213730128,-0.004852362883380534,-0.0364134797117559,0.13214497868244424,1.6822888391003343,,,,,1.6913926299179711,1.825340352100808,3.2421487777876594,1.2036411477729891,0.6594064204999923,0.34729087887844456,6.490471185341891,0.2364877412176165,-0.17867270382747447,1.414032765966667,4.528219312050096,1.0837303902682782,0.7664110877426619,0.9273540602535741,1.1539311892921038,0.5795655658294425,-0.2031008122643485,,,,,,,,,-0.07025147698446058,15.45,0.2409739013777893,-0.09048477677082947,,
dxcm,2020-01-02,2020-12-31,0.0,0.6852948901072302,0.6883182848011749,-0.3680870136819142,1.8699879626723028,0.15653156184745143,-0.10312206446084027,-0.0880118234162871,0.6852948901072302,,,,,0.6883182848011749,1.2220646881580064,2.0026689609639554,0.6762533064248178,0.553369484428947,-0.32136211551549526,3.334036342284339,0.1256888945893646,-0.17096959466536432,1.2881211660492562,2.4586319531123206,0.5665042545131429,0.43979112326105546,-0.6472412541583923,1.0371307230637248,0.24484727553508323,-0.2247532250075196,,,,,,,,,-0.08450395613188023,23.071428571428573,0.11752474896015912,-0.07584441902101655,,
docu,2020-01-02,2020-12-31,0.0,1.9288537362672158,1.9396820100896144,-0.28054312435981765,6.914024410742023,-0.02448657939043053,0.03280058250517914,0.2908657707743829,1.9288537362672158,,,,,1.9396820100896144,2.0774988272419788,3.7432430235894203,1.2573882052036671,0.6052413549965445,0.41827373638361987,4.566039487147195,0.20538111117923208,-0.14713624230079536,2.860071096138038,17.99984680879144,1.270481006374043,0.444213085503216,0.430601847035822,-0.7771053722117864,0.3340334653285353,-0.060351259810651814,,,,,,,,,-0.06245242649815947,13.666666666666666,0.16053045125278662,-0.0398786736153622,,
dltr,2020-01-02,2020-12-31,0.0,0.1520580328625314,0.1526181749728217,-0.3016295652244573,0.5059788315487279,-0.010984959462729704,0.1828334272738419,0.16573155545721097,0.1520580328625314,,,,,0.1526181749728217,0.5356058642584376,0.8807100128108464,0.2545124084538073,0.4751860004486459,0.0073478707038803015,9.365607026720584,0.14076424319079872,-0.15919684458374983,0.789314816107898,2.3343176258045113,0.29769487045889975,0.37715606546805946,1.026849515641899,0.24059412079526332,0.2284423872966892,-0.1151390786359675,,,,,,,,,-0.08309219245668295,34.2,0.11216343788175878,-0.047988370803578186,,
ebay,2020-01-02,2020-12-31,0.0,0.4041993095678784,0.40583721354084834,-0.3156663988537337,1.2856522424133459,-0.003569351988265246,-0.03249354559759399,-0.03610788297685086,0.4041993095678784,,,,,0.40583721354084834,1.079114882666556,1.8314511314814128,0.4125058763122066,0.3822631704354595,-0.07458050076543046,0.8896581116059648,0.08781621807100826,-0.07455405449787844,1.234622993110915,3.4964839568078996,0.5461196712874666,0.44233719470216026,0.8878779966267752,1.1613984748969175,0.32501670430344576,-0.132217061570983,,,,,,,,,-0.053212813473492104,18.11764705882353,0.12953837623928963,-0.05532411175111198,,
ea,2020-01-02,2020-12-31,0.0,0.3395879245400699,0.3409335335312682,-0.2338738010982554,1.4577671031567778,0.12556841073847957,0.10260993863123646,0.08891610940072026,0.3395879245400699,,,,,0.3409335335312682,0.9842030585471576,1.6267340810764293,0.35853535253180735,0.3642900206600286,0.10270824012406728,4.074061299568867,0.10664887680819923,-0.08644150008329365,1.2849153662223136,3.2156084529148834,0.35024915904464726,0.2725853921993239,-0.11409849646574952,-1.5196982752611334,0.14066090119378316,-0.08112875194868197,,,,,,,,,-0.03789853785172243,15.8,0.09247715679969164,-0.046760242334777956,,
exc,2020-01-02,2020-12-31,0.0,-0.03526478108499975,-0.0353837144736856,-0.40036407493726767,-0.08837884487820195,0.02800096403012997,0.19133459955245224,0.1856666604255186,-0.03526478108499975,,,,,-0.0353837144736856,0.1696764801564143,0.2799999852525352,0.08316135134539349,0.49011714097753656,0.4956134380779911,9.985926640074068,0.17994106071268767,-0.16089106171821654,-0.2270595448761688,-0.3550194460698104,-0.05853593652644751,0.2577999377140088,-0.36165873492623785,-0.02061818189937803,0.11549236383487615,-0.14613782090865335,,,,,,,,,-0.0629789799628407,47.714285714285715,0.04967333986125951,-0.07033959619669346,,
fast,2020-01-02,2020-12-31,0.0,0.35574964344026405,0.3571673778960869,-0.27780622826370627,1.2856708797653285,-0.0044852083410983346,0.09787595765166901,0.16188806726293192,0.35574964344026405,,,,,0.3571673778960869,0.9745215503525912,1.6541452970675576,0.38004223554177596,0.38997827744730024,0.23936476169073073,5.261767025329906,0.1132008119880481,-0.1102165792760722,1.4204045890175512,3.942140990257912,0.44506348372306354,0.3133357123486202,0.12427865635487752,-1.4502250497138252,0.16713811558206526,-0.08679122529999217,,,,,,,,,-0.04009933476611972,14.761904761904763,0.10520458020657923,-0.04465052423200009,,
fisv,2020-01-02,2020-12-31,0.0,-0.014369772168916328,-0.014418761435171401,-0.37848090742315643,-0.038096403682129895,-0.011460320292818293,0.10490050692346253,0.16635932602796544,-0.014369772168916328,,,,,-0.014418761435171401,0.20440180029346547,0.3242279984720957,0.09561405963934155,0.4677750367270041,-0.34509550761788343,6.143524410278086,0.12532469514128453,-0.16669887999423993,0.007592041656526423,0.014954911984182126,0.002482250199708158,0.3269542386631027,0.8264580623821949,1.1140327395530942,0.20645227644763509,-0.13140090221636147,,,,,,,,,-0.07108021143328098,58.166666666666664,0.07689648483215268,-0.06370117135739405,,
ftnt,2020-01-02,2020-12-31,0.0,0.35421223893165665,0.35562308363155504,-0.37608179505634354,0.9456003675431207,0.20530710649323192,0.26075886475954024,0.08202807719366345,0.35421223893165665,,,,,0.35562308363155504,0.8228335148532984,1.3778823517281715,0.4517848104780622,0.549059806537669,0.7037197009738614,8.838482218805956,0.2122734274812217,-0.1380329711300925,0.8109250799444518,2.3515553243015748,0.36238872983771286,0.44688312003192254,0.9621378803388484,0.21427088902677927,0.29199925476378663,-0.11529128798014554,,,,,,,,,-0.09345691776871058,37.44444444444444,0.1372534364876826,-0.059012918903418254,,
gild,2020-01-02,2020-12-31,0.0,-0.07057978751452887,-0.07081337174058389,-0.3046811600726581,-0.2324179536525883,-0.028854571923162542,-0.0675835780475248,-0.2261927164786709,-0.07057978751452887,,,,,-0.07081337174058389,-0.00928586478709468,-0.016795956799558417,-0.003488101746581873,0.3756356383122842,0.6171850336264355,2.9288868650638777,0.09733462539457571,-0.08352051383395132,-0.04937108287588126,-0.1046853762537282,-0.013216800012991303,0.26770326359294755,0.477987487171433,-1.3048679797107638,0.12359560053666341,-0.09630878947047539,,,,,,,,,-0.06865089318152637,30.727272727272727,0.08807308891213111,-0.052058250808633307,,
hon,2020-01-02,2020-12-31,0.0,0.2039480162805556,0.20471563788218994,-0.43010339441447054,0.4759684311742842,0.0430561969598402,0.29820335776609164,0.48630999220043925,0.2039480162805556,,,,,0.20471563788218994,0.6349472599978804,1.0397144966408898,0.2877543071339156,0.4531940292724095,0.20817974459313135,5.353778340407338,0.15068353040392823,-0.12086837477135914,0.8629734781632127,1.6657090864244863,0.3085171719755409,0.35750481304732695,0.23397347689147913,2.1861289072100627,0.24204937259811832,-0.1750013003485713,,,,,,,,,-0.0715417650235941,42.25,0.07583580257470568,-0.06201080259467348,,
